ticker sector industry price market_cap recommendation
ARNA Healthcare Biotechnology 1.22 299.47M 2.70
AROW Financial "Regional - Northeast Banks" 34.0808 459.44M 3.00
ARRS Technology "Communication Equipment" 27.66 5.26B 1.90
ARTNA Utilities "Water Utilities" 37.08 338.61M 2.00
ARUN index_error index_error 24.64  index_error
ARWR Healthcare Biotechnology 1.72 128.26M 3.00
ASCMA Services "Security & Protection Services" 13.16 159.45M 2.70
ASEI index_error index_error   index_error
ASFI Services "Business Services" 6.30 74.82M 3.00
ASM "Basic Materials" "Industrial Metals & Minerals" 1.455 76.29M 2.00
ASMI index_error index_error 35.80  index_error
ASML   135.685 58.34B 2.30
ASNA Services "Apparel Stores" 3.775 723.62M 3.10
ASND Healthcare Biotechnology 28.08 910.38M index_error
ASPS Services "Business Services" 18.46 344.50M 4.00
AST Healthcare Biotechnology 3.05 145.08M 2.00
ASTE "Industrial Goods" "Farm & Construction Machinery" 61.92 1.42B 2.40
ASYS Technology "Semiconductor Equipment & Materials" 7.18 94.63M 2.00
ATAX Financial "Mortgage Investment" 5.70 342.38M 1.00
ATEC Healthcare "Medical Instruments & Supplies" 2.098  4.00
ATHN Technology "Healthcare Information Services" 103.935 4.14B 2.30
ATL index_error index_error 0.06  index_error
ATLC Financial "Credit Services" 2.56 35.70M 4.00
ATML index_error index_error 8.14  index_error
ATNI Technology "Telecom Services - Domestic" 66.49 1.07B 2.30
ATNM Healthcare Biotechnology 1.379 76.96M 1.70
ATRA   14.95 434.88M 2.60
ATRI Healthcare "Medical Instruments & Supplies" 515.55 945.00M 4.00
ATRO "Industrial Goods" "Aerospace\u002FDefense Products & Services" 30.82 896.77M 1.80
ATSG Services "Air Delivery & Freight Services" 23.12 1.38B 2.10
ATVI Technology "Multimedia & Graphics Software" 53.481 40.21B 2.00
AUDC Technology "Communication Equipment" 6.47 206.95M 2.30
AUMN "Basic Materials" "Industrial Metals & Minerals" 0.4769 42.76M 2.00
AVAV "Industrial Goods" "Aerospace\u002FDefense Products & Services" 28.96 668.45M 2.60
AVEO Healthcare Biotechnology 0.5871 44.54M 1.50
AVGO Technology "Semiconductor - Broad Line" 225.50 90.51B 1.80
AVHI "Industrial Goods" "Residential Construction" 17.10 384.25M 3.00
AVID Technology "Multimedia & Graphics Software" 5.24 214.13M 2.30
AVL index_error index_error   index_error
AVNU index_error index_error   index_error
AVNW Technology "Communication Equipment" 20.973 111.28M 3.00
AWAY index_error index_error 35.77  index_error
AWX "Industrial Goods" "Waste Management" 2.45 9.32M none
AXN Healthcare "Drug Manufacturers - Major" 0.3715 28.31M 1.00
AXTI Technology "Semiconductor - Integrated Circuits" 6.90 225.68M 2.00
AXU "Basic Materials" "Industrial Metals & Minerals" 1.40 131.15M 1.50
AXX index_error index_error 0.14  index_error
AYA   17.75 2.59B 2.00
AZPN Technology "Business Software & Services" 58.47 4.45B 2.60
BAA "Basic Materials" Gold 0.1101 33.41M 4.00
BABY Healthcare "Medical Appliances & Equipment" 34.40 1.12B 2.00
BAMM index_error index_error 3.25  index_error
BANF Financial "Regional - Southwest  Banks" 96.70 1.54B 3.00
BANFP index_error index_error 27.911  none
BANR Financial "Regional - Mid-Atlantic Banks" 56.41 1.87B 2.20
BANX   20.1378  1.70
BBBY Services "Home Furnishing Stores" 37.34 5.33B 3.30
BBCN index_error index_error   index_error
BBEP index_error index_error   index_error
BBEPP index_error index_error 0.63 5.04B index_error
BBNK index_error index_error 29.80  index_error
BBOX Technology "Networking & Communication Devices" 9.70 146.94M 3.00
BBRG Services Restaurants 4.925 74.57M 3.00
BBRY   9.49 5.04B 2.90
BBSI Services "Staffing & Outsourcing Services" 57.00 413.31M 1.00
BCOM Technology "Diversified Communication Services" 19.27 568.60M 2.00
BCOR Technology "Internet Information Providers" 20.30 854.33M 1.50
BCOV Technology "Application Software" 5.9841 203.82M 1.70
BCPC "Basic Materials" "Chemicals - Major Diversified" 80.91 2.57B 3.30
BCRX Healthcare Biotechnology 5.67 419.32M 2.40
BCV Financial "Closed-End Fund - Debt" 21.18 109.69M none
BDBD index_error index_error   index_error
BDE index_error index_error 5.40  2.50
BDGE Financial "Regional - Northeast Banks" 36.60 714.14M 2.80
BDL Services "Specialty Eateries" 25.00 46.45M none
BDR Technology "Communication Equipment" 0.588 4.78M none
BEAT Healthcare "Medical Laboratories & Research" 28.2208 800.62M 1.50
BEAV index_error index_error 64.47  3.00
BEBE Services "Apparel Stores" 4.52 36.46M 3.00
BECN "Industrial Goods" "General Building Materials" 49.83 2.99B 2.10
BELFA   20.3489 244.72M none
BELFB Technology "Diversified Electronics" 23.25 279.60M 2.00
BFIN Financial "Savings & Loans" 15.13 282.05M 2.00
BFY Financial "Asset Management" 14.70 73.53M none
BGCP Financial "Investment Brokerage - National" 11.605 3.28B 1.50
BGFV Services "Sporting Goods Stores" 14.80 320.52M 2.80
"server error"     "server error"
BGSF Services "Staffing & Outsourcing Services" 16.93 146.77M 2.00
BHB Financial "Regional - Northeast Banks" 30.27 465.67M 2.00
BHBK Financial "Money Center Banks" 18.50 442.35M 2.30
BHV Financial "Asset Management" 16.3192  none
BIDU Technology "Internet Information Providers" 177.725 61.65B 2.60
BIIB Healthcare Biotechnology 261.91 55.56B 2.20
BIND index_error index_error   index_error
BIOS Healthcare "Home Health Care" 1.71 206.88M 1.70
BITI index_error index_error 25.80  index_error
BJRI Services Restaurants 46.30 1.01B 2.70
BKCC Financial "Asset Management" 7.65 556.97M 3.00
BKJ Financial "Savings & Loans" 16.05 101.55M none
BKMU Financial "Savings & Loans" 9.40 431.71M 2.80
BKYF index_error index_error 50.99  index_error
BLDR "Industrial Goods" "General Building Materials" 16.02 1.79B 1.70
BLE Financial "Asset Management" 14.93 350.71M none
BLJ Financial "Asset Management" 14.9568 34.79M none
BLKB Technology "Business Software & Services" 79.16 3.67B 2.50
BLMN Services Restaurants 21.59 2.21B 2.40
BLUE Healthcare Biotechnology 90.30 3.69B 2.10
BMRN Healthcare Biotechnology 94.30 16.30B 2.00
BMTC Financial "Regional - Mid-Atlantic Banks" 42.40 719.49M 2.20
BNCL Financial "Regional - Northeast Banks" 15.825 1.11B 2.30
BOBE Services Restaurants 68.29 1.35B 2.30
BOFI Financial "Savings & Loans" 24.03 1.52B 1.40
BOJA Services Restaurants 19.05 696.51M 2.00
BOKF Financial "Regional - Southwest  Banks" 83.70 5.47B 2.90
BONA index_error index_error 13.63  index_error
BONE index_error index_error   index_error
BONT Services "Department Stores" 0.8652 18.86M 3.00
BOOM "Industrial Goods" "Metal Fabrication" 13.05 192.15M 2.50
BOTA index_error index_error 1.55  index_error
BPFH Financial "Regional - Northeast Banks" 15.55 1.31B 3.00
BPFHP   25.9898 2.19B none
BPFHW index_error index_error 10.4305  none
BPMC Healthcare Biotechnology 40.70 1.35B 1.60
BPMX Healthcare Biotechnology 0.455 30.81M 2.00
BPOP Financial "Foreign Regional Banks" 41.01 4.18B 2.70
BRCD Technology "Data Storage Devices" 12.57 5.12B 3.20
BRCM index_error index_error   index_error
BRDR index_error index_error 14.00  index_error
BREW "Consumer Goods" "Beverages - Brewers" 17.10 329.36M 2.00
BRG   12.31 297.51M 1.70
BRKL Financial "Savings & Loans" 14.15 995.96M 2.40
BRKR Healthcare "Medical Laboratories & Research" 25.9925 4.15B 3.00
BRKS Technology "Semiconductor Equipment & Materials" 26.24 1.83B 2.00
BRLI index_error index_error 34.61  index_error
BRN "Basic Materials" "Independent Oil & Gas" 1.99 16.47M none
BSET "Consumer Goods" "Home Furnishings & Fixtures" 30.6096 328.13M 3.00
BSFT Technology "Application Software" 35.60 1.08B 1.80
BSRR Financial "Regional - Pacific Banks" 25.46 352.09M 3.00
BTG "Basic Materials" Gold 2.26 2.20B 1.50
BTI "Consumer Goods" Cigarettes 68.63 127.60B 1.00
BTN "Consumer Goods" "Photographic Equipment & Supplies" 6.25 89.13M 1.00
BTX Healthcare Biotechnology 3.10 318.61M 1.70
BUFF "Consumer Goods" "Food - Major Diversified" 24.805 4.88B 1.80
BUSE Financial "Regional - Midwest Banks" 30.17 1.15B 2.10
BV Technology "Application Software" 4.65 387.56M 1.90
BVX Healthcare "Medical Instruments & Supplies" 2.67 82.39M 2.00
BWL-A index_error index_error 14.2814  3.00
BWLD Services Restaurants 160.45 2.59B 2.60
BZC index_error index_error 19.80 196.30B index_error
BZM Financial "Asset Management" 14.42 29.98M 3.00
BZUN Services "Catalog & Mail Order Houses" 17.66 941.67M 1.80
CA Technology "Business Software & Services" 32.69 13.66B 3.10
CAC Financial "Regional - Northeast Banks" 43.73 678.16M 2.00
CACC Financial "Credit Services" 215.62 4.30B 3.70
CACQ Services "Resorts & Casinos" 17.65 2.45B 1.00
CAFD Utilities "Diversified Utilities" 12.70 356.57M 2.50
CAKE Services Restaurants 63.16 2.89B 2.70
CALA Healthcare Biotechnology 11.075 303.73M 1.80
CALM "Consumer Goods" "Food - Major Diversified" 37.775 1.83B 3.00
CAMP Technology "Wireless Communications" 18.66 654.33M 2.30
CANF Healthcare Biotechnology 1.82 29.76M 2.00
CAR Services "Rental & Leasing Services" 29.62 2.55B 2.30
CASH Financial "Savings & Loans" 86.30 792.92M 1.50
CASS Services "Business Services" 66.67 746.50M none
CASY Services "Grocery Stores" 113.66 4.46B 2.20
CATM Services "Business Services" 36.16 1.65B 2.40
CATY Financial "Regional - Pacific Banks" 38.74 3.09B 2.60
CATYW index_error index_error 19.25  none
CAVM Technology "Semiconductor - Broad Line" 70.46 4.77B 2.20
CBF Financial "Regional - Southeast Banks" 39.45 2.04B 2.30
CBNJ index_error index_error 14.59  index_error
CBOE Financial "Diversified Investments" 83.76 6.81B 2.20
CBPO Healthcare Biotechnology 117.16 3.18B 1.60
CBRL Services Restaurants 163.93 3.94B 3.00
CBSH Financial "Regional - Midwest Banks" 55.82 5.68B 3.20
CCA Financial "Asset Management" 11.4124 31.79M none
CCBG Financial "Regional - Mid-Atlantic Banks" 20.62 349.59M 3.20
CCD   19.72  none
CCF "Industrial Goods" "Industrial Equipment & Components" 104.55 966.67M 1.00
CCIH Technology "Internet Information Providers" 1.09 28.72M 2.00
CCLP "Basic Materials" "Oil & Gas Equipment & Services" 6.98 233.38M 2.80
CCMP Technology "Semiconductor - Integrated Circuits" 78.07 1.95B 2.80
CCNE Financial "Regional - Northeast Banks" 24.40 363.39M 2.00
CCOI Technology "Diversified Communication Services" 40.05 1.79B 2.30
CCRN Services "Staffing & Outsourcing Services" 12.05 397.46M 2.00
CCXI Healthcare Biotechnology 7.0008 337.11M 2.30
CDK Technology "Application Software" 61.78 8.96B 2.30
CDNS Technology "Application Software" 33.06 9.24B 2.60
CDW Technology "Information Technology Services" 58.79 9.37B 2.00
CDXS Healthcare Biotechnology 4.50 186.22M 2.00
CECE "Industrial Goods" "Pollution & Treatment Controls" 11.63 399.91M 2.30
CECO Services "Education & Training Services" 10.77 738.12M 3.00
CEF Financial "Asset Management" 12.14  none
CELG Healthcare Biotechnology 122.41 95.23B 1.80
CEMP Healthcare Biotechnology 3.80 199.09M 3.10
CENT "Consumer Goods" "Food - Major Diversified" 34.99 1.80B 2.20
CENTA   33.07 1.70B 3.00
CENX "Basic Materials" Aluminum 13.16 1.15B 3.30
CERN Technology "Healthcare Information Services" 64.87 21.41B 2.50
CET Financial "Asset Management" 24.5779 611.52M none
CETV Services "Broadcasting - TV" 4.10 592.13M 2.00
CEV Financial "Asset Management" 12.48  none
CEVA Technology "Semiconductor - Specialized" 40.80 876.38M 1.90
CFD index_error index_error 9.67  index_error
CFFI Financial "Regional - Mid-Atlantic Banks" 49.55 172.58M none
CFFN Financial "Savings & Loans" 14.665 2.03B 3.00
CFNL Financial "Regional - Southeast Banks" 29.04  3.00
CFP index_error index_error   index_error
CG Financial "Asset Management" 18.075 1.55B 2.30
CGNX Technology "Scientific & Technical Instruments" 90.00 7.74B 2.60
CGO Financial "Closed-End Fund - Equity" 12.63  none
CH Financial "Asset Management" 7.05  none
CHCO Financial "Regional - Mid-Atlantic Banks" 69.55 1.08B 3.00
CHDN Services "Gaming Activities" 167.05 2.72B 2.30
CHEF Services "Food Wholesale" 13.75 361.31M 2.20
CHFC Financial "Regional - Midwest Banks" 49.16 3.50B 2.30
CHI Financial "Closed-End Fund - Debt" 11.1499  none
CHKE Services "Apparel Stores" 8.25 106.85M 2.30
CHKP Technology "Security Software & Services" 105.82 17.47B 2.40
CHMA Healthcare Biotechnology 1.45 35.32M 4.00
CHMG Financial "Regional - Pacific Banks" 37.572 180.12M 3.00
CHOP index_error index_error 0.65  index_error
CHRW Services "Air Delivery & Freight Services" 73.24 10.36B 3.10
CHTR Services "CATV Systems" 334.78 90.02B none
CHUY Services Restaurants 30.175 508.27M 2.30
CHW Financial "Closed-End Fund - Equity" 8.1908  none
CHY index_error index_error 11.67  none
CIGI Financial "Property Management" 52.15 2.02B 1.90
CIK Financial "Asset Management" 3.33  none
CINF Financial "Property & Casualty Insurance" 70.83 11.66B 3.00
CISG index_error index_error 8.90  index_error
CIX Services "Security & Protection Services" 14.9062 185.12M 2.00
CKEC index_error index_error 33.40  index_error
CKSW index_error index_error 12.595  index_error
CKX Financial "Property Management" 11.55 22.43M none
CLDX Healthcare Biotechnology 3.20 394.28M 2.30
CLM Financial "Asset Management" 16.6398  none
"server error"     "server error"
CLMT "Basic Materials" "Oil & Gas Refining & Marketing" 3.90 299.09M 3.30
CLNE Utilities "Gas Utilities" 2.48 370.99M 2.50
CLVS Healthcare Biotechnology 49.5225 2.21B 2.40
CMCO "Industrial Goods" "Farm & Construction Machinery" 24.92 504.56M 1.70
CMCSA Services "Entertainment - Diversified" 38.965 188.28B 1.80
CMCSK index_error index_error 58.00  index_error
CME Financial "Investment Brokerage - National" 118.51 40.10B 2.10
CMFN Financial "Asset Management" 10.15 138.93M 2.50
CMLS Services "Broadcasting - Radio" 0.28 8.21M 3.00
CMPR Services "Business Services" 85.19 2.65B 3.00
CMT "Consumer Goods" "Rubber & Plastics" 19.81 154.38M 1.00
CMTL Technology "Communication Equipment" 14.27 336.10M 2.20
CNBKA Financial "Regional - Northeast Banks" 63.45 353.23M none
CNIT Technology "Application Software" 0.71 28.56M 3.00
CNMD Healthcare "Medical Appliances & Equipment" 50.51 1.41B 2.70
CNOB Financial "Regional - Northeast Banks" 22.45 720.82M 1.50
CNR index_error index_error 1.0848  index_error
CNSL Technology "Telecom Services - Domestic" 22.86 1.16B 2.80
CNTF Technology "Networking & Communication Devices" 2.41 25.51M none
CNV index_error index_error 5.30  index_error
COBZ Financial "Regional - Southwest  Banks" 16.65 684.12M 2.50
COHR Technology "Scientific & Technical Instruments" 224.543 5.51B 1.60
COHU Technology "Semiconductor Equipment & Materials" 18.99 512.31M 2.30
COKE "Consumer Goods" "Beverages - Soft Drinks" 204.81 1.91B 3.00
COLB Financial "Savings & Loans" 39.84 2.32B 2.70
COLL Healthcare "Drugs - Generic" 7.954 234.23M 1.50
COLM "Consumer Goods" "Textile - Apparel Clothing" 57.03 3.97B 2.20
COMM Technology "Communication Equipment" 35.485 6.88B 1.80
CONE Financial "REIT - Diversified" 54.93 4.52B 2.00
CONN Services "Electronics Stores" 16.95 524.72M 1.80
CORE Services "Food Wholesale" 35.71 1.65B 1.50
COST Services "Discount, Variety Stores" 180.20 79.10B 2.10
COVR index_error index_error 0.95  index_error
COVS Technology "Application Software" 1.90 77.64M 3.00
COWN Financial "Investment Brokerage - National" 15.225 404.51M 2.50
CPHD index_error index_error 52.95  index_error
CPHI Healthcare "Drug Manufacturers - Major" 0.2484 10.83M 2.00
CPIX Healthcare "Drug Manufacturers - Other" 5.93 94.96M 3.00
CPLA Services "Education & Training Services" 94.40 1.09B 2.30
CPLP Services Shipping 3.41 416.34M 1.80
CPRT Services "Auto Dealerships" 30.40 6.98B 2.50
CPSI Technology "Healthcare Information Services" 30.20 403.11M 2.90
CPTA Financial "Closed-End Fund - Equity" 13.96 221.66M 2.80
CQH "Basic Materials" "Oil & Gas Pipelines" 24.61 5.70B 1.90
CQP "Basic Materials" "Oil & Gas Pipelines" 31.05 10.49B 2.00
CRAI Services "Management Services" 34.15 291.74M 2.00
CRAY Technology "Diversified Computer Systems" 18.70 747.76M 1.80
CREE Technology "Semiconductor Equipment & Materials" 22.045 2.15B 3.00
CRESY   21.22 1.05B 2.00
CRF Financial "Asset Management" 16.74 218.69M none
CRMD Healthcare Biotechnology 0.5198 20.96M 1.50
CRMT Services "Auto Dealerships" 36.35 283.42M 2.60
CRNT Technology "Communication Equipment" 3.35 260.75M 3.00
CROX "Consumer Goods" "Textile - Apparel Footwear & Accessories" 6.01 442.88M 2.90
CRRC index_error index_error   index_error
CRTO Technology "Internet Information Providers" 52.40 3.23B 2.10
CRUS Technology "Semiconductor - Specialized" 63.63 4.09B 2.00
CRV index_error index_error   index_error
CRVL Financial "Insurance Brokers" 45.85 876.97M none
CRVP "Consumer Goods" "Beverages - Soft Drinks" 0.85 18.15M none
CRWN index_error index_error   index_error
CRZO "Basic Materials" "Independent Oil & Gas" 24.895 1.62B 1.80
CSAL index_error index_error 28.94  index_error
CSBK Financial "Savings & Loans" 16.31 359.13M 2.50
CSCO Technology "Networking & Communication Devices" 34.334 171.94B 2.20
CSFL Financial "Regional - Southeast Banks" 25.55 1.31B 2.20
CSGP Financial "Property Management" 252.80 8.16B 1.60
CSGS Technology "Business Software & Services" 39.47 1.22B 2.00
CSII Healthcare "Medical Appliances & Equipment" 30.045 979.53M 1.80
CSIQ Technology "Semiconductor - Specialized" 13.31 769.40M 2.90
CSOD Technology "Application Software" 39.135 2.22B 2.50
CSQ Financial "Closed-End Fund - Debt" 11.67  1.00
CSRE index_error index_error   index_error
CSTE "Industrial Goods" "General Building Materials" 40.25 1.38B 2.00
CSUN index_error index_error 0.45  index_error
CSWC Financial "Asset Management" 16.10 257.05M 2.00
CSX Services Railroads 52.235 48.20B 2.10
CTAS Services "Business Services" 122.99 12.95B 2.50
CTBI Financial "Regional - Southeast Banks" 44.60 785.58M 3.00
CTCM index_error index_error   index_error
CTCT index_error index_error 32.01  index_error
CTF index_error index_error 13.98  index_error
CTG Technology "Information Technology Services" 5.78 88.41M 2.30
CTHR Services "Jewelry Stores" 0.9314 19.92M 2.00
CTMX   14.67 535.72M 1.80
CTO Financial "Real Estate Development" 53.87 305.28M none
CTP index_error index_error 1.36  index_error
CTRE   16.98 1.12B 2.30
"server error"     "server error"
CTRN Services "Apparel Stores" 19.32 283.64M 3.00
CTRP Services Lodging 52.60 27.54B 1.80
CTRX index_error index_error   index_error
CTSH Technology "Business Software & Services" 62.96 38.32B 2.20
CTWS Utilities "Water Utilities" 53.25 599.49M 3.00
CTXS Technology "Business Software & Services" 87.48 13.85B 2.70
CUO "Industrial Goods" "Diversified Machinery" 23.184 39.00M none
CUTR Healthcare "Medical Appliances & Equipment" 20.05 278.01M 1.70
CVBF Financial "Regional - Pacific Banks" 21.99 2.42B 3.10
CVCO "Industrial Goods" "Residential Construction" 117.80 1.06B 2.00
CVGI Services "Auto Parts Wholesale" 8.34 257.31M 2.00
CVGW "Consumer Goods" "Farm Products" 65.45 1.15B 1.60
CVLT Technology "Application Software" 56.35 2.54B 1.80
CVM Healthcare Biotechnology 0.1088 20.78M 2.00
CVR "Industrial Goods" "Machine Tools & Accessories" 39.4981 38.16M none
CVRS Healthcare "Medical Appliances & Equipment" 1.205 143.43M 1.70
CVTI Services Trucking 18.16 331.46M 2.80
CVU "Industrial Goods" "Aerospace\u002FDefense Products & Services" 5.70 49.89M 2.00
CWCO Utilities "Water Utilities" 11.85 176.22M 1.50
CWST "Industrial Goods" "Waste Management" 14.86 620.05M 2.00
CXRX   1.47 75.10M 4.00
CY Technology "Semiconductor - Broad Line" 13.45 4.40B 2.40
